ProductKey,CultureName,ProductDescription
210,Afrikaans,Ons ligste en beste-gehalte aluminiumraam gemaak van die jongste allooi; dit word gesweis en getemper vir krag. Ons nuwe ontwerp bied maksimum gemak en werkverrigting.
210,Albanian,"Trupi ynë prej alumini më të lehtë dhe me cilësinë më të mirë, i prodhuar nga aliazhi më i ri; është salduar dhe kalitur që të ketë rezistencë. Modeli ynë novator ka si rezultat një rehati dhe rendiment maksimal."
210,Basque,"Gure kalitate oneneko aluminiozko koadro arinena, aleazio berrienarekin egindakoa. Soldatuta eta beroarekin tratatuta dago sendoagoa izan dadin. Gure diseinu berriztatzaileari esker erosotasun eta funtzionamendu bikainak eskaintzen ditu."
210,Bosnian (Cyrillic),??? ???????? ? ???????????????? ??? ??????? ?? ????????? ??????; ??????? ? ????? ?? ????? ???? ?????. ??? ?????????? ?????? ?? ?????? ? ????????? ????????? ? ???????????.
210,Bosnian (Latin),Naš najlakši i visokokvalitetni ram izra?en od najnovije legure; zavaren i kaljen da pruži ve?u snagu. Naš inovativan dizajn se ogleda u maksimumu udobnosti i performansi.
210,Brazilian,Nosso quadro de alumínio mais leve e de melhor qualidade feito com a mais nova liga metálica; é soldado e termotratado para ser resistente. Nosso design inovador resulta em conforto e desempenho máximos.
210,Bulgarian,"?????????????????? ? ????????? ?????????? ????? ? ????????? ?? ???-?????? ?????, ????? ????? ? ??????? ???? ?????????? ? ???????? ?????????. ????????? ?????? ????????? ?????????? ??????? ? ?????? ?? ??????????."
210,Catalan,"El nostre quadre d'alumini més lleuger i de la millor qualitat, fabricat amb l'aliatge més actual; està soldat i termotractat per millorar-ne la resistència. El disseny innovador augmenta al màxim el rendiment i la comoditat."
210,Chinese - Hongkong,????????????????????????????????????????????????????????????????????????????????
210,Chinese - Trad,????????????????????????????????????????????????????????????????????????
210,Croatian,"Naš najlakši i najkvalitetniji aluminijski okvir izra?en od najnovije legure, zavaren i toplotno obra?en za ?vrsto?u. Inovativni dizajn omogu?uje maksimalnu udobnost i u?inkovitost."
210,Czech,Náš nejleh?í hliníkový rám nejvyšší kvality vyrobený z nejnov?jší slitiny; sva?ovaný a tepeln? zpracovaný pro opravdovou pevnost. Pokrokový design poskytuje maximální pohodlí a spl?uje špi?kové požadavky.
210,Danish,"Vores letteste og bedste aluminiumstel, der er lavet af den nyeste legering. Stellet er svejset og varmebehandlet for at give det ekstra styrke. Vores innovative design giver maksimal komfort og ydeevne."
210,Dutch,"Ons lichtste aluminium frame van de beste kwaliteit, van de nieuwste legering. Gelast en getemperd. Ons innovatieve design resulteert in maximaal comfort en maximale prestaties."
210,Estonian,"Meie kergeim ja kvaliteetseim alumiiniumraam, mis valmistatud uusimast sulamist ning on tugevuse tagamiseks keevitatud ja termiliselt töödeldud. Meie uuendusliku kujunduse tulemuseks on maksimaalne mugavus ja toimivus."
210,Farsi,"???? ???? ? ?? ????? ???? ???? ?????????? ???? ?? ?? ?? ???????? ????? ????? ??? ???? ??? ???? ???? ??????? ?????? ??????? ? ????? ???? ??? ???. ????? ???????? ?? ?????? ????? ? ?????? ?????? ?? ?? ?????? ?? ????."
210,Finnish,"Kevein ja laadukkain alumiinirunkomme uusimmasta seoksesta, vahvistettu hitsaamalla ja lämpökäsittelyllä. Innovatiivisen suunnittelumme tuloksena on maksimaalinen mukavuus ja suorituskyky."
210,Galician,"O noso cadro de aluminio, máis lixeiro e de mellor calidade, feito coa aliaxe máis moderna, está soldado e tratado con calor para gañar fortaleza. O noso deseño innovador ten como resultado a máxima comodidade e prestacións."
210,Greek,?? ??? ?????? ??????? ??? ?? ??????? ????????. ?????????????? ??? ?? ??? ???????? ????? ??????????. ? ?????????? ??? ? ??????? ??????????? ??? ????????? ??????? ??????. ? ?????????? ???????? ???????? ?? ?????????? ????? ??? ??? ????????? ?????????.
210,Gujrati,?????? ??? ????? ????????? ????????? ????? ????? ??????? ???? ??? ????? ???????????? ??????????? ?????; ?????? ???? ????? ???? ??? ????????? ???????????? ??????? ?????? ??. ????? ???????? ?????? ?????? ???? ??? ????????????? ?????? ??? ??. 
210,Hindi,????? ???? ????? ?? ????? ???????? ???? ??????????? ?? ????? ???? ????? ?? ??? ??; ?????? ?? ??? ??? ????? ?? ????? ???? ???? ??. ????? ???? ?????? ?? ???????????? ?? ???? ???????? ?? ?? ?????? ???????? ???? ??. 
210,Hungarian,"Legkönnyebb és legjobb min?ség? alumíniumvázunk, amelyet a legújabb ötvözetb?l, a nagyobb szilárdság érdekében hegesztéssel és h?kezeléssel készítünk. Az innovatív forma maximális kényelmet és teljesítményt eredményez."
210,Icelandic,Léttasta og besta álgrindin úr nýjustu álblöndunni. Hún er soðin og meðhöndluð með hita sem gerir hana sterkari. Nýstárleg hönnun eykur þægindi og virkni.
210,Indonesian,Rangka aluminium kualitas terbaik kami yang paling ringan terbuat dari alloy terbaru dan melalui proses pengelasan serta pemanasan agar kuat. Desain inovatif kami menghasilkan kenyamanan dan performa maksimal.
