CurrencyKey,DateKey,AverageRate,EndOfDayRate,Time
3,20050701,1,0.99980004,00:00.0
3,20050702,1,1.000900811,00:00.0
3,20050703,1,0.99960016,00:00.0
3,20050704,1,1,00:00.0
3,20050705,1,0.99960016,00:00.0
3,20050706,1,1.00050025,00:00.0
3,20050707,1,0.99950025,00:00.0
3,20050708,1,1.00020004,00:00.0
3,20050709,1,0.999200639,00:00.0
3,20050710,1,1.00020004,00:00.0
3,20050711,1,0.99960016,00:00.0
3,20050712,1,1.000900811,00:00.0
3,20050713,1,0.99960016,00:00.0
3,20050714,1,1.000800641,00:00.0
3,20050715,1,0.99930049,00:00.0
3,20050716,1,1.001001001,00:00.0
3,20050717,1,0.99930049,00:00.0
3,20050718,1,1.000900811,00:00.0
3,20050719,1,0.99990001,00:00.0
3,20050720,1,1.00070049,00:00.0
3,20050721,1,0.99960016,00:00.0
3,20050722,1,1.00050025,00:00.0
3,20050723,1,0.99960016,00:00.0
3,20050724,1,1.001001001,00:00.0
3,20050725,1,1,00:00.0
3,20050726,1.00040016,1.001101211,00:00.0
3,20050727,1.00040016,1.00030009,00:00.0
3,20050728,1.00040016,1.00070049,00:00.0
3,20050729,1.00040016,0.99980004,00:00.0
3,20050730,1.00040016,1.001001001,00:00.0
3,20050731,1.00040016,0.99990001,00:00.0
3,20050801,1.00040016,1.001101211,00:00.0
3,20050802,1.00040016,0.99960016,00:00.0
3,20050803,1.00040016,1.001001001,00:00.0
3,20050804,1.00040016,1.00030009,00:00.0
3,20050805,1.00040016,1.000900811,00:00.0
3,20050806,1.00040016,0.99960016,00:00.0
3,20050807,1.00040016,1.000900811,00:00.0
3,20050808,1.00040016,1,00:00.0
3,20050809,1.00040016,1.00070049,00:00.0
3,20050810,1.00040016,0.99960016,00:00.0
3,20050811,1.00040016,1.000900811,00:00.0
3,20050812,1.00040016,0.99970009,00:00.0
3,20050813,1.00040016,1.00050025,00:00.0
3,20050814,1.00010001,1.00010001,00:00.0
3,20050815,1.00020004,1.001001001,00:00.0
3,20050816,1.00010001,0.99970009,00:00.0
3,20050817,1.00010001,1.00020004,00:00.0
3,20050818,1.00010001,0.99950025,00:00.0
3,20050819,1.00010001,1.001001001,00:00.0
3,20050820,1.00010001,0.99990001,00:00.0
3,20050821,1.00010001,1.00070049,00:00.0
3,20050822,1.00010001,1,00:00.0
3,20050823,1.00010001,1.00010001,00:00.0
3,20050824,1.00040016,1.00010001,00:00.0
3,20050825,1.00040016,1.001201442,00:00.0
3,20050826,1.00040016,1,00:00.0
3,20050827,1.00010001,1.00010001,00:00.0
3,20050828,1.00010001,0.99970009,00:00.0
3,20050829,1.00010001,1.001001001,00:00.0
3,20050830,1.00020004,0.99970009,00:00.0
3,20050831,1.000800641,1.001101211,00:00.0
3,20050901,1.000800641,1.00040016,00:00.0
3,20050902,1.000800641,1.001001001,00:00.0
3,20050903,1.00010001,0.99960016,00:00.0
3,20050904,1.00010001,1.001001001,00:00.0
3,20050905,1.00020004,0.99990001,00:00.0
3,20050906,1.00020004,1.00040016,00:00.0
